Q_val;R_val;S_val;RR_l_0/RR_l_1;signal_std;seq_size;label
-0.5994;1.5025;-0.6037;0.9171;0.2549;256.0;0.0
-0.3619;1.1477;-0.5305;1.0133;0.2325;210.0;0.0
-0.4566;1.6402;-0.5937;1.0279;0.247;257.0;0.0
-0.4959;0.9778;-0.4168;0.9875;0.1591;198.0;0.0
-0.316;1.7007;-0.388;0.9828;0.3687;230.0;0.0
-0.4376;0.9542;-0.3566;1.0316;0.1424;230.0;0.0
-0.5482;1.418;-0.6764;0.9781;0.2452;245.0;0.0
-0.5554;0.9904;-0.4607;1.012;0.1752;195.0;0.0
-0.2984;2.2997;-0.9903;1.0413;0.4883;156.0;0.0
-0.291;1.9471;-0.4819;0.9632;0.3777;227.0;0.0
-0.4225;1.6514;-0.4921;1.0119;0.2525;251.0;0.0
-0.548;1.7643;-0.5245;0.9497;0.266;245.0;0.0
-0.3745;1.9044;-0.2592;1.0479;0.2586;255.0;0.0
-0.5043;0.9807;-0.3796;0.9752;0.1549;226.0;0.0
0.2536;2.4024;0.0694;1.0142;0.2666;214.0;0.0
-0.2104;1.3972;-0.3765;0.9708;0.2995;179.0;0.0
-0.2909;1.2167;-0.4878;1.0211;0.2511;201.0;0.0
-0.2027;2.1645;-0.3793;1.0375;0.4025;217.0;0.0
-0.2586;2.0532;-0.4971;0.9704;0.3968;244.0;0.0
-0.5533;1.9068;-0.4263;1.0234;0.2863;225.0;0.0
-0.5219;1.7046;-0.4557;0.9835;0.2662;251.0;0.0
-0.3587;1.0625;-0.2737;1.0;0.1506;219.0;0.0
-0.1142;2.0831;-0.345;0.9315;0.4066;203.0;0.0
-0.2781;1.3181;-0.532;0.9624;0.289;187.0;0.0
-0.5184;0.8938;-0.4269;0.988;0.1459;227.0;0.0
-0.4692;1.9179;-0.3377;0.9602;0.2674;259.0;0.0
-0.3134;1.234;-0.5054;1.0074;0.2348;227.0;0.0
-0.641;0.9089;-0.5547;1.0127;0.1652;219.0;0.0
-0.3802;1.2095;-0.5364;0.9929;0.2622;204.0;0.0
-0.6002;1.4712;-0.6428;1.0;0.2417;234.0;0.0
-0.4902;1.6416;-0.6261;0.9946;0.2442;247.0;0.0
0.0325;1.57;-0.2317;0.9774;0.2807;189.0;0.0
-0.5842;1.4129;-0.6717;0.994;0.2469;229.0;0.0
-0.4178;2.8437;-0.6871;0.931;0.7277;240.0;0.0
-0.4942;2.1042;-1.1214;0.9909;0.4869;154.0;0.0
-0.3824;1.1471;-0.5672;1.0144;0.2336;192.0;0.0
-0.2527;1.3067;-0.4444;1.0068;0.2794;212.0;0.0
-0.6712;1.2294;-0.4414;1.0142;0.2951;196.0;0.0
-0.5867;1.2533;-0.6561;1.0898;0.2248;233.0;0.0
