Q_val;R_val;S_val;RR_l_0/RR_l_1;signal_std;seq_size;label
0.3554;0.4851;0.4219;0.392;0.1873;0.5804;0.0
0.4686;0.3664;0.4531;0.4541;0.1626;0.4;0.0
0.4235;0.5312;0.4261;0.4635;0.1786;0.5843;0.0
0.4047;0.3096;0.5017;0.4374;0.0818;0.3529;0.0
0.4904;0.5514;0.514;0.4344;0.3127;0.4784;0.0
0.4325;0.3017;0.5274;0.4659;0.0634;0.4784;0.0
0.3798;0.4569;0.3908;0.4314;0.1766;0.5373;0.0
0.3764;0.3138;0.4829;0.4532;0.0995;0.3412;0.0
0.354;0.6211;0.1862;0.4455;0.4412;0.1922;0.0
0.4988;0.7518;0.2567;0.4721;0.4445;0.1882;0.0
0.5024;0.6339;0.4739;0.4218;0.3226;0.4667;0.0
0.4397;0.5349;0.4695;0.4532;0.1847;0.5608;0.0
0.3799;0.5727;0.4557;0.413;0.1996;0.5373;0.0
0.4626;0.6196;0.569;0.4764;0.1914;0.5765;0.0
0.4007;0.3106;0.5176;0.4295;0.0771;0.4627;0.0
0.7618;0.7862;0.7093;0.4547;0.2002;0.4157;0.0
0.5408;0.4499;0.5189;0.4267;0.2365;0.2784;0.0
0.5024;0.3895;0.4714;0.4591;0.1831;0.3647;0.0
0.5444;0.7066;0.5177;0.4697;0.35;0.4275;0.0
0.5178;0.6694;0.4674;0.4264;0.3437;0.5333;0.0
0.3774;0.6204;0.4976;0.4606;0.2219;0.4588;0.0
0.3924;0.5527;0.4851;0.4348;0.1998;0.5608;0.0
0.4701;0.3379;0.5628;0.4455;0.0724;0.4353;0.0
0.5866;0.6794;0.5324;0.4013;0.3545;0.3725;0.0
0.4997;0.3895;0.472;0.7589;0.1858;0.3412;0.0
0.5085;0.4234;0.4525;0.4212;0.2249;0.3098;0.0
0.4075;0.6922;0.1756;0.4116;0.4574;0.1765;0.0
0.394;0.2815;0.4974;0.4377;0.0672;0.4667;0.0
0.4175;0.6241;0.5355;0.4198;0.2011;0.5922;0.0
0.4917;0.3953;0.4638;0.4503;0.1652;0.4667;0.0
0.3356;0.2866;0.4428;0.4537;0.0885;0.4353;0.0
0.4688;0.9493;0.3364;0.4284;0.817;0.4353;0.0
0.4599;0.3871;0.4506;0.4409;0.1954;0.3765;0.0
0.3551;0.4747;0.4052;0.4455;0.1728;0.4941;0.0
0.4075;0.5317;0.4123;0.442;0.1755;0.5451;0.0
