Q_val;R_val;S_val;RR_l_0/RR_l_1;signal_std;seq_size;label
-0.7475;0.5283;-0.2595;-0.6047;-0.4496;1.6386;0.0
-0.2163;-0.0647;-0.1248;-0.254;-0.5672;0.1961;0.0
-0.4281;0.7584;-0.2411;-0.2008;-0.491;1.67;0.0
-0.516;-0.3487;0.0845;-0.3481;-0.9526;-0.1802;0.0
-0.1136;0.8595;0.1374;-0.3652;0.148;0.8233;0.0
-0.3856;-0.3881;0.1952;-0.1873;-1.0402;0.8233;0.0
-0.633;0.387;-0.3932;-0.3823;-0.5005;1.2937;0.0
-0.6491;-0.3276;0.0037;-0.2588;-0.868;-0.2742;0.0
-0.0742;1.8607;-0.9709;-0.152;0.7759;-1.4972;0.0
-0.0577;1.2714;-0.0353;-0.4367;0.1952;0.7292;0.0
-0.3518;0.7771;-0.0541;-0.2591;-0.4622;1.4818;0.0
-0.6326;0.9658;-0.1137;-0.4859;-0.3913;1.2937;0.0
-0.2444;1.2;0.3745;-0.1279;-0.4301;1.6072;0.0
-0.5348;-0.3438;0.1529;-0.3929;-0.9746;0.6979;0.0
1.1606;2.0323;0.9791;-0.2508;-0.3881;0.3216;0.0
0.1226;0.3523;0.1586;-0.409;-0.2154;-0.776;0.0
-0.0574;0.0506;-0.0462;-0.2256;-0.4695;-0.0861;0.0
0.1399;1.6347;0.1535;-0.1658;0.3254;0.4156;0.0
0.0148;1.4487;-0.0633;-0.4104;0.2955;1.2623;0.0
-0.6444;1.204;0.067;-0.2172;-0.2847;0.6665;0.0
-0.5742;0.8661;0.0129;-0.3627;-0.3902;1.4818;0.0
-0.2091;-0.2071;0.3478;-0.3025;-0.9972;0.4784;0.0
0.3378;1.4987;0.2166;-0.5522;0.347;-0.0234;0.0
-0.0288;0.2201;-0.1275;-0.4396;-0.2705;-0.5251;0.0
-0.5663;-0.4891;0.0659;-0.3463;-1.0219;0.7292;0.0
-0.4563;1.2225;0.23;-0.4476;-0.3839;1.7327;0.0
-0.1078;0.0795;-0.0786;-0.2755;-0.5551;0.7292;0.0
-0.8406;-0.4638;-0.1693;-0.2562;-0.9205;0.4784;0.0
-0.2572;0.0386;-0.1356;-0.3284;-0.4112;0.008;0.0
-0.7493;0.476;-0.3314;-0.3025;-0.5189;0.9487;0.0
-0.5033;0.7608;-0.3007;-0.3222;-0.5057;1.3564;0.0
0.666;0.6411;0.4251;-0.3849;-0.3141;-0.4624;0.0
-0.7135;0.3785;-0.3846;-0.3244;-0.4916;0.7919;0.0
-0.3413;2.7699;-0.4129;-0.554;2.0329;1.1369;0.0
-0.5122;1.5339;-1.2121;-0.3357;0.7686;-1.5599;0.0
-0.2621;-0.0657;-0.1923;-0.25;-0.5614;-0.3683;0.0
0.028;0.201;0.0337;-0.2777;-0.3209;0.2589;0.0
-0.9082;0.0718;0.0392;-0.2508;-0.2385;-0.2429;0.0
-0.7191;0.1118;-0.3559;0.0248;-0.6076;0.9174;0.0
0.2499;1.1864;0.1818;-0.4436;0.1537;0.8547;0.0
-0.6035;-0.4685;0.0734;-0.3725;-0.9893;0.3216;0.0
-0.7578;-0.2972;-0.0462;-0.472;-0.8906;0.7919;0.0
-0.5073;-0.3654;0.2263;-0.2806;-1.0397;0.7292;0.0
-0.5256;0.5838;-0.0635;-0.1691;-0.5252;1.2623;0.0
-0.6943;-0.5365;-0.1099;-0.2766;-0.9841;-0.0234;0.0
-0.627;-0.0801;-0.0508;-0.3025;-0.7714;0.4784;0.0
-0.7109;1.0536;0.1086;-0.3878;-0.3556;1.4505;0.0
-0.8411;0.6702;-0.3791;-0.3659;-0.3813;1.1996;0.0
-0.272;0.7661;-0.1038;-0.3025;-0.4889;1.0742;0.0
-0.478;2.3119;-0.447;-0.0594;1.6292;3.2692;0.0
-0.2377;-0.052;-0.1347;-0.2763;-0.3398;-1.3718;0.0
-0.3932;0.6536;0.0007;-0.4297;-0.458;1.4505;0.0
0.3604;1.2119;0.3866;-0.4662;-0.0211;0.7292;0.0
-0.9686;-0.6567;-0.1023;-0.2803;-0.9531;0.7292;0.0
0.3414;1.1993;0.2519;-0.3025;0.139;0.6665;0.0
-0.1393;1.6173;-0.9364;-0.0149;0.9713;-1.309;0.0
-0.0136;0.0685;-0.1884;-0.1913;-0.2941;-0.3997;0.0
-0.7343;-0.3913;0.066;-0.4942;-0.9641;0.447;0.0
-0.382;0.971;0.271;-0.4877;-0.4532;1.3877;0.0
0.8521;0.9996;1.0277;-0.16;-0.5435;-0.4624;0.0
-0.391;-0.1321;-0.371;-0.2755;-0.2852;-0.87;0.0
-0.4863;1.1193;0.2;-0.3025;-0.3235;0.7606;0.0
-0.3988;-0.1354;0.2928;-0.3455;-0.9274;0.9174;0.0
-0.4485;1.0415;-0.0007;-0.1469;-0.4018;1.2623;0.0
-0.5464;-0.1993;0.0852;-0.3025;-0.8643;0.2902;0.0
-0.1456;-0.0921;-0.0421;-0.1188;-0.6464;-0.0861;0.0
-0.029;2.3973;-0.8963;-0.4651;1.8129;3.3947;0.0
-0.2125;0.0167;-0.0734;-0.3273;-0.4931;0.0707;0.0
-0.0402;0.1195;-0.0127;-0.3025;-0.4553;0.008;0.0
-0.1624;0.6593;0.7344;-0.3488;-0.0836;0.3529;0.0
-0.565;-0.3325;0.041;0.1918;-0.9568;0.9487;0.0
-0.6066;-0.1799;0.0716;-0.6029;-0.8938;0.8233;0.0
-0.3116;1.157;0.0556;-0.4465;-0.3535;1.4191;0.0
-0.4764;0.8383;0.1586;-0.5748;-0.4721;1.3877;0.0
-0.4337;0.8829;0.1411;-0.1665;-0.4475;1.67;0.0
-0.4467;0.8878;0.1051;-0.3244;-0.4102;0.8233;0.0
-0.1796;0.0581;-0.1619;-0.4031;-0.3776;-0.2115;0.0
-0.6509;-0.4299;-0.1045;-0.5026;-0.9384;1.1369;0.0
-0.5581;-0.4416;0.0786;-0.0127;-0.8722;0.0707;0.0
-0.5165;-0.3517;0.0151;-0.0922;-0.9709;0.5411;0.0
-0.5191;1.0379;0.0635;-0.4429;-0.3146;0.9174;0.0
-0.3261;3.0102;-0.9723;-0.1855;2.0823;3.3633;0.0
-0.4789;-0.1483;0.2823;-0.3481;-0.9253;0.6979;0.0
0.277;1.6317;0.1599;-0.413;0.222;1.67;0.0
-0.5388;0.0267;0.2088;-0.4968;-0.8638;0.9487;0.0
-0.2196;1.9671;-0.7605;-0.2358;0.8573;-1.5599;0.0
-1.0665;-1.1583;-0.2817;-0.2785;-1.1164;0.1648;0.0
0.1701;1.1208;0.8952;-0.1301;-0.135;0.7919;0.0
-0.8695;-0.6465;-0.2508;-0.476;-0.9074;0.0707;0.0
0.2672;1.4214;0.1466;-0.4859;0.3716;0.886;0.0
0.2613;1.8075;-0.269;0.3689;0.7229;-1.4972;0.0
-0.5594;-0.6027;-0.0289;-0.3247;-1.0413;0.8547;0.0
-0.4069;0.9655;0.0971;-0.2602;-0.4774;1.0114;0.0
-0.161;2.1568;-1.1591;-0.269;1.8702;3.3006;0.0
-0.0682;0.1798;-0.0506;-0.4556;-0.3624;-0.0547;0.0
-0.5046;-0.5282;0.0668;-0.3247;-1.0276;0.9487;0.0
-0.5675;0.9105;-0.0806;-0.3678;-0.4517;1.3877;0.0
-0.1228;0.1347;-0.0766;-0.3539;-0.4128;-0.1802;0.0
0.1;0.1632;0.1073;-0.1731;-0.3949;-0.3369;0.0
0.0985;0.186;0.0177;-0.4483;-0.3645;0.008;0.0
-0.1527;-0.0094;-0.2103;-0.3025;-0.25;-0.431;0.0
-0.5411;-0.1383;0.0865;-0.3758;-0.7462;0.447;0.0
-0.6004;-0.1453;0.0946;-0.5384;-0.8407;1.0114;0.0
0.188;1.0863;0.2523;-0.2526;0.1459;-0.8073;0.0
-0.5561;-0.4762;0.1754;-0.1633;-0.9599;0.3529;0.0
-0.2914;1.0728;1.0049;-0.6116;0.085;1.7013;0.0
-0.1749;0.1091;-0.1205;-0.4308;-0.4102;-0.0547;0.0
-0.5932;0.9737;0.081;-0.2817;-0.3944;1.325;0.0
-0.0478;-0.0146;-0.0254;-0.4512;-0.5173;0.0394;0.0
-0.6534;-0.4961;-0.0996;-0.378;-0.9142;0.0707;0.0
-0.1838;1.2329;0.3031;-0.2402;-0.4044;1.4191;0.0
-0.0838;0.0713;-0.1397;-0.2238;-0.3498;-0.1802;0.0
-0.4151;-0.1296;0.1947;-0.2799;-0.9121;0.1021;0.0
-0.3758;-0.3848;0.143;-0.3247;-0.9741;0.7606;0.0
-0.4561;0.373;-0.1071;-0.3237;-0.6039;1.3564;0.0
-0.6062;0.0936;0.1722;-0.2566;-0.7457;0.5411;0.0
-0.3272;-0.1185;-0.5677;-0.3831;-0.2647;-0.7132;0.0
0.1367;1.9033;0.1016;-0.4002;0.4667;0.6979;0.0
-0.4373;1.854;-0.9234;-0.4928;0.8395;-1.6226;0.0
1.1487;1.6314;0.9458;-0.3251;-0.1492;0.3529;0.0
-0.5004;-0.3833;0.2475;-0.3025;-1.014;0.6979;0.0
-0.5831;0.5498;-0.1058;-0.2238;-0.5509;0.9487;0.0
-0.6422;-0.4919;0.0786;-0.0404;-0.994;0.4784;0.0
-0.4357;1.4711;-1.1781;-0.3353;0.7618;-1.5285;0.0
-0.0212;-0.0158;-0.0585;-0.3025;-0.4758;0.1021;0.0
-0.5259;0.7716;0.1058;-0.3433;-0.4322;1.1996;0.0
-0.4243;-0.1735;0.3875;-0.3692;-0.9489;0.8547;0.0
-0.2755;-0.0647;-0.2265;-0.3269;-0.4138;0.2275;0.0
-0.3948;0.8203;0.1332;-0.4501;-0.4889;1.325;0.0
-0.21;-0.0654;-0.1417;-0.1742;-0.5477;-0.2115;0.0
-0.5482;0.955;-0.1058;-0.3656;-0.3398;0.7919;0.0
-0.4637;-0.0276;0.2453;-0.1133;-0.8922;0.3529;0.0
-0.0149;0.1883;0.0083;-0.5227;-0.3697;0.008;0.0
-0.7402;1.0716;-0.0434;-0.324;-0.3524;1.2937;0.0
-0.4867;-0.5016;0.129;-0.1181;-1.0124;0.5411;0.0
-0.3644;1.5933;-1.1539;-0.102;0.703;-1.5599;0.0
-0.503;1.1559;0.14;-0.4888;-0.3451;1.1369;0.0
-0.6281;-0.284;0.0482;-0.4086;-0.9242;1.0114;0.0
-0.4326;1.0954;-0.3108;0.0245;0.3632;-0.9327;0.0
-0.0313;1.3312;-0.0004;-0.3966;0.2609;0.1961;0.0
-0.1377;-0.0116;-0.1158;-0.1217;-0.4958;-0.1488;0.0
-0.0952;0.0341;0.0751;-0.3525;-0.5561;-0.1174;0.0
-0.5505;0.5035;-0.2302;-0.3444;-0.5183;1.1369;0.0
-0.6361;0.6642;-0.2779;-0.1622;-0.5189;1.2937;0.0
-0.4359;0.9842;0.1671;-0.3641;-0.4816;1.231;0.0
-0.1371;0.5761;-0.147;-0.8799;0.1737;0.7292;0.0
-0.5827;0.7532;-0.1161;-0.5456;-0.427;1.3564;0.0
-0.3086;-0.1603;-0.256;-0.273;-0.2873;-0.9014;0.0
-0.2632;1.6685;-0.9015;-0.336;0.7717;-1.5599;0.0
-0.5719;0.606;-0.2843;-0.3823;-0.4354;1.4818;0.0
-0.5625;-0.3206;0.2223;-0.164;-0.9604;0.9487;0.0
0.0549;0.5716;-0.1292;-0.2635;-0.6864;1.1055;0.0
-0.7355;-0.7381;-0.058;-0.3025;-1.0266;0.886;0.0
-0.5939;1.6081;-0.8803;-0.4013;0.7565;-1.6853;0.0
-0.0078;1.1318;-0.0721;-0.4826;-0.0363;1.1996;0.0
-0.2679;0.2278;0.0169;-0.4232;-0.343;0.0707;0.0
-0.7017;0.8169;0.0055;-0.1144;-0.4159;1.0428;0.0
-0.2543;1.6263;-0.9409;-0.3025;1.1456;-1.215;0.0
-0.3066;0.6939;-0.0087;-0.4534;0.4336;-1.1836;0.0
-0.4952;-0.65;0.0918;-0.1928;-1.0618;0.6352;0.0
-0.2999;0.3705;-0.0578;-0.2198;-0.6134;0.9174;0.0
-0.1328;0.9242;-0.0096;-0.078;0.0403;-0.2115;0.0
-0.0024;0.1485;0.0153;-0.328;-0.4207;-0.2429;0.0
-0.1565;1.3432;-0.1086;-0.1334;0.3155;-0.0861;0.0
-0.193;0.0319;-0.3441;-0.1472;-0.2469;-0.9955;0.0
-0.2017;0.1432;-0.2142;-0.1013;-0.3067;-0.4937;0.0
-0.5048;-0.3967;0.0657;-0.3258;-0.9851;1.1055;0.0
-0.5232;0.3327;-0.3066;-0.3441;-0.5572;0.6979;0.0
-0.5019;0.3232;-0.0523;-0.2489;-0.5908;0.008;0.0
-0.2196;0.0834;-0.2109;-0.3765;-0.3535;0.1334;0.0
-0.699;0.8684;-0.2635;-0.3237;-0.4012;1.3877;0.0
-0.5941;0.9329;-0.0315;-0.2613;-0.3871;1.0114;0.0
-1.2547;-0.165;-1.0733;-0.2238;-0.6328;1.1055;0.0
0.1951;1.509;0.1444;-0.1684;0.2897;1.0428;0.0
-0.0404;0.1711;-0.035;-0.254;-0.4081;0.1021;0.0
-0.4554;0.551;-0.1627;-0.2169;-0.5483;1.4818;0.0
-0.1794;0.1043;-0.2834;-0.2183;-0.2311;-0.6819;0.0
-0.0646;0.2383;-0.035;-0.4454;-0.376;-0.0547;0.0
-0.1769;0.0188;-0.1649;-0.25;-0.4301;-0.1488;0.0
-0.0854;-0.106;0.0156;-0.3284;-0.6396;-0.3683;0.0
-0.6648;1.4209;-1.0448;-0.3357;0.6368;-1.5285;0.0
-0.5176;1.3171;0.1056;-0.3247;-0.2411;1.0742;0.0
-0.2516;-0.0422;-0.2366;-0.1254;-0.3839;0.1021;0.0
-0.2149;0.0005;0.1067;-0.1028;-0.4748;-0.1174;0.0
-0.359;0.4653;-0.0092;-0.5657;-0.5756;1.8895;0.0
-0.5478;-0.5237;0.0007;-0.2792;-1.0213;0.3843;0.0
-0.1796;2.4669;0.0289;-0.3663;1.4044;0.9487;0.0
0.1488;1.5916;0.1362;-0.2376;0.2173;0.3843;0.0
-0.2102;-0.2556;-0.0935;-0.4024;-0.3451;-0.1174;0.0
-0.0778;1.7489;-0.9403;-0.3678;0.7702;-1.4972;0.0
