Q_val;R_val;S_val;RR_l_0/RR_l_1;signal_std;seq_size;label
-1.2831;0.5381;-0.4524;-0.4284;-0.273;1.3603;0.0
-0.4282;-0.0453;-0.2468;-0.0586;-0.4098;0.1203;0.0
-0.7691;0.7645;-0.4243;-0.0025;-0.3212;1.3872;0.0
-0.9105;-0.3247;0.0726;-0.1578;-0.8582;-0.2032;0.0
-0.263;0.864;0.1534;-0.1759;0.4223;0.6594;0.0
-0.7007;-0.3635;0.2416;0.0118;-0.9603;0.6594;0.0
-1.0988;0.3991;-0.6566;-0.1939;-0.3322;1.0638;0.0
-1.1247;-0.304;-0.0507;-0.0636;-0.7599;-0.2841;0.0
-1.2942;1.2065;-2.0022;-0.1097;1.1346;-1.3084;0.0
-0.1996;1.8489;-1.5382;0.049;1.153;-1.3353;0.0
-0.173;1.2691;-0.1103;-0.2512;0.4773;0.5785;0.0
-0.6463;0.7829;-0.1389;-0.064;-0.2876;1.2255;0.0
-1.0981;0.9685;-0.2299;-0.3031;-0.2051;1.0638;0.0
-0.4736;1.1989;0.5152;0.0744;-0.2504;1.3333;0.0
-0.9408;-0.3199;0.177;-0.2051;-0.8839;0.5516;0.0
1.7872;2.0178;1.4381;-0.0551;-0.2015;0.2281;0.0
0.1171;0.3649;0.1857;-0.222;-0.0005;-0.7154;0.0
-0.1726;0.0681;-0.1269;-0.0286;-0.2962;-0.1223;0.0
0.1448;1.6266;0.1779;0.0344;0.6288;0.309;0.0
-0.0564;1.4436;-0.153;-0.2235;0.594;1.0368;0.0
-1.1171;1.2029;0.0459;-0.0198;-0.0811;0.5246;0.0
-1.0041;0.8704;-0.0367;-0.1732;-0.2039;1.2255;0.0
-0.4167;-0.1854;0.4745;-0.1097;-0.9102;0.3629;0.0
0.4634;1.4928;0.2742;-0.3731;0.6538;-0.0684;0.0
-0.1932;0.0678;-0.1224;1.7583;-0.2815;-0.2841;0.0
-0.1266;0.2348;-0.251;-0.2543;-0.0646;-0.4997;0.0
-0.89;1.5559;-2.0715;-0.312;1.2244;-1.4162;0.0
-0.9915;-0.4628;0.0442;-0.1559;-0.9389;0.5785;0.0
-0.8144;1.2211;0.2947;-0.2627;-0.1966;1.4411;0.0
-0.2536;0.0966;-0.1763;-0.0813;-0.3958;0.5785;0.0
-1.4328;-0.438;-0.3148;-0.0609;-0.821;0.3629;0.0
-0.4264;2.8196;-1.0147;-0.2116;3.2179;0.3629;0.0
-0.4941;0.0563;-0.2634;-0.137;-0.2284;-0.0414;0.0
-1.286;0.4866;-0.5622;-0.1097;-0.3536;0.7672;0.0
-0.89;0.7668;-0.5153;-0.1305;-0.3383;1.1177;0.0
0.9914;0.6491;0.5924;-0.1966;-0.1153;-0.4458;0.0
-1.2284;0.3907;-0.6434;-0.1328;-0.3218;0.6325;0.0
-0.6294;2.7434;-0.6866;-0.375;2.6155;0.929;0.0
-0.9044;1.5275;-1.9064;-0.1447;1.1444;-1.3893;0.0
-0.502;-0.0463;-0.3499;-0.0544;-0.4031;-0.3649;0.0
-0.0351;0.2161;-0.005;-0.0836;-0.1233;0.1742;0.0
-1.5415;0.089;0.0035;-0.0551;-0.0274;-0.2571;0.0
-1.2374;0.1283;-0.5995;0.2355;-0.4568;0.7403;0.0
0.3219;1.1856;0.2211;-0.2585;0.429;0.6864;0.0
-1.0513;-0.4426;0.0557;-0.1835;-0.901;0.2281;0.0
-1.2996;-0.2741;-0.1269;-0.2885;-0.7861;0.6325;0.0
-0.8965;-0.3412;0.2891;-0.0867;-0.9596;0.5785;0.0
-0.6676;1.0991;-0.4484;-1.8975;0.6838;-0.1223;0.0
-0.926;0.5927;-0.1533;0.031;-0.3609;1.0368;0.0
-1.1974;-0.5095;-0.224;-0.0824;-0.8949;-0.0684;0.0
-1.0891;-0.0605;-0.1339;-0.1097;-0.6475;0.3629;0.0
-1.224;1.0549;0.1093;-0.1997;-0.1636;1.1985;0.0
-1.4335;0.6777;-0.6349;-0.1766;-0.1935;0.9829;0.0
-0.5178;0.772;-0.2148;-0.1097;-0.3188;0.8751;0.0
-0.8493;2.2929;-0.7386;0.1467;2.1457;2.762;0.0
-0.4628;-0.0328;-0.262;-0.0821;-0.1453;-1.2275;0.0
-0.7129;0.6614;-0.0552;-0.2439;-0.2827;1.1985;0.0
0.4997;1.2106;0.5337;-0.2824;0.2256;0.5785;0.0
-1.6387;-0.6278;-0.2125;-0.0863;-0.8588;0.5785;0.0
0.4691;1.1983;0.3281;-0.1097;0.4119;0.5246;0.0
-0.3044;1.6095;-1.4857;0.1936;1.3802;-1.1736;0.0
-0.1021;0.0857;-0.344;0.0075;-0.0921;-0.3919;0.0
-1.2618;-0.3666;0.0445;-0.312;-0.8717;0.3359;0.0
-0.1701;1.2545;-0.0743;-1.904;0.5475;0.8212;0.0
-0.6949;0.9736;0.3573;-0.305;-0.2772;1.1446;0.0
-0.9033;1.5071;-2.2361;-0.0747;1.3698;-1.3893;0.0
1.2909;1.0018;1.5122;0.0406;-0.3823;-0.4458;0.0
-0.7093;-0.1116;-0.6226;-0.0813;-0.0817;-0.7962;0.0
-0.8627;1.1195;0.2489;-0.1097;-0.1263;0.6055;0.0
-0.7219;-0.1149;0.3905;-0.1551;-0.8289;0.7403;0.0
-0.8018;1.043;-0.0575;0.0544;-0.2174;1.0368;0.0
-0.9595;-0.1777;0.0737;-0.1097;-0.7556;0.2012;0.0
-0.3145;-0.0723;-0.1207;0.084;-0.5021;-0.1223;0.0
-0.1269;2.3769;-1.4244;-0.2812;2.3595;2.8698;0.0
-0.4221;0.0347;-0.1684;-0.1359;-0.3237;0.0125;0.0
-0.1449;0.1359;-0.0757;-0.1097;-0.2797;-0.0414;0.0
-0.3415;0.667;1.0646;-0.1586;0.1529;0.2551;0.0
-0.5243;0.0117;-0.4178;0.9156;-0.2259;0.0394;0.0
-0.9894;-0.3088;0.0063;0.4116;-0.8631;0.7672;0.0
-1.0563;-0.1586;0.0529;-0.4265;-0.7898;0.6594;0.0
-0.5815;1.1567;0.0285;-0.2616;-0.1612;1.1716;0.0
-0.8468;0.8431;0.1857;-0.3969;-0.2992;1.1446;0.0
-0.7781;0.887;0.1591;0.0337;-0.2705;1.3872;0.0
-0.7989;0.8918;0.104;-0.1328;-0.2271;0.6594;0.0
-0.3692;0.0755;-0.3035;-0.2158;-0.1893;-0.2301;0.0
-1.1276;-0.4046;-0.2159;-0.3208;-0.8417;0.929;0.0
