Q_val;R_val;S_val;RR_l_0/RR_l_1;signal_std;seq_size;label
-0.5779;0.588;-0.2932;-0.4769;-0.3536;0.7056;0.0
-0.2919;1.4132;-1.269;2.321;0.9005;-0.9615;0.0
-0.1075;0.0155;-0.1492;-0.2703;-0.4701;-0.0462;0.0
-0.2951;0.8101;-0.2736;-0.2389;-0.3947;0.722;0.0
-0.3729;-0.2586;0.0745;-0.3257;-0.8519;-0.2423;0.0
-0.0166;0.9077;0.1311;-0.3358;0.2383;0.2807;0.0
-0.2575;-0.2966;0.1929;-0.231;-0.9388;0.2807;0.0
0.3159;1.6098;0.3162;2.1555;0.4017;0.1172;0.0
-0.4765;0.4516;-0.4363;-0.3459;-0.4041;0.5259;0.0
-0.4908;-0.2382;-0.0119;-0.2731;-0.7682;-0.2914;0.0
-0.5841;1.2438;-1.3788;-0.2989;0.8448;-0.9125;0.0
0.0182;1.8741;-1.0538;-0.2102;0.8604;-0.9288;0.0
0.0329;1.3052;-0.0536;-0.3779;0.2851;0.2316;0.0
-0.2275;0.8282;-0.0737;-0.2733;-0.3661;0.6239;0.0
-0.4761;1.0103;-0.1374;-0.4069;-0.2959;0.5259;0.0
-0.1325;1.2364;0.3845;-0.196;-0.3344;0.6893;0.0
-0.3896;-0.2539;0.1476;-0.3521;-0.8738;0.2153;0.0
1.1115;2.0398;1.031;-0.2684;-0.2928;0.0192;0.0
0.1925;0.4181;0.1537;-0.3616;-0.1216;-0.5529;0.0
0.0331;0.1269;-0.0652;-0.2535;-0.3734;-0.1933;0.0
0.2078;1.656;0.1482;-0.2183;0.4141;0.0682;0.0
0.0971;1.4764;-0.0835;-0.3624;0.3845;0.5095;0.0
-0.4866;1.2402;0.0558;-0.2486;-0.1903;0.199;0.0
-0.4244;0.914;-0.0021;-0.3343;-0.2948;0.6239;0.0
-0.1012;-0.1219;0.356;-0.2989;-0.8961;0.1009;0.0
0.3831;1.5247;0.2157;-0.446;0.4355;-0.1606;0.0
0.0218;0.1265;-0.0621;0.7446;-0.3609;-0.2914;0.0
0.0585;0.2905;-0.1522;-0.3796;-0.1762;-0.4221;0.0
-0.3616;1.5866;-1.4274;-0.4118;0.9213;-0.9779;0.0
-0.4175;-0.3941;0.0546;-0.3246;-0.9206;0.2316;0.0
-0.32;1.2581;0.2301;-0.3843;-0.2886;0.7547;0.0
-0.0115;0.1548;-0.0998;-0.283;-0.4582;0.2316;0.0
-0.6603;-0.3697;-0.1968;-0.2716;-0.8202;0.1009;0.0
-0.1065;2.8265;-0.6871;-0.3558;2.6185;0.1009;0.0
-0.1438;0.1152;-0.1608;-0.3141;-0.3156;-0.1443;0.0
-0.5795;0.5375;-0.3702;-0.2989;-0.4223;0.3461;0.0
-0.3616;0.8124;-0.3373;-0.3105;-0.4093;0.5585;0.0
0.6736;0.6969;0.4386;-0.3474;-0.2194;-0.3894;0.0
-0.5478;0.4434;-0.427;-0.3117;-0.3952;0.2643;0.0
-0.2182;2.7518;-0.4573;-0.447;2.1057;0.4441;0.0
-0.3696;1.5587;-1.3117;-0.3184;0.8531;-0.9615;0.0
-0.1481;0.0146;-0.2214;-0.2679;-0.4644;-0.3404;0.0
0.1088;0.2721;0.0202;-0.2843;-0.2262;-0.0135;0.0
-0.7201;0.1473;0.0261;-0.2684;-0.1445;-0.275;0.0
-0.5528;0.1859;-0.3963;-0.106;-0.5102;0.3297;0.0
0.3052;1.2233;0.1785;-0.382;0.244;0.297;0.0
-0.4504;-0.3742;0.0627;-0.3401;-0.8883;0.0192;0.0
-0.587;-0.2089;-0.0652;-0.3987;-0.7905;0.2643;0.0
-0.3652;-0.2747;0.2261;-0.286;-0.9383;0.2316;0.0
-0.2392;1.1384;-0.2905;-1.2974;0.461;-0.1933;0.0
-0.3814;0.6415;-0.0837;-0.2203;-0.4285;0.5095;0.0
-0.5308;-0.4399;-0.1333;-0.2836;-0.8831;-0.1606;0.0
-0.4712;0.0007;-0.0701;-0.2989;-0.6725;0.1009;0.0
-0.5454;1.095;0.1002;-0.3491;-0.2605;0.6076;0.0
-0.6607;0.7249;-0.4211;-0.3362;-0.286;0.4768;0.0
-0.1568;0.8175;-0.1268;-0.2989;-0.3926;0.4114;0.0
-0.3393;2.3097;-0.4937;-0.1556;1.7057;1.5556;0.0
-0.1265;0.0278;-0.1598;-0.2834;-0.2449;-0.8634;0.0
-0.2642;0.709;-0.0151;-0.3738;-0.3619;0.6076;0.0
0.4031;1.2478;0.3975;-0.3953;0.0708;0.2316;0.0
-0.7736;-0.5559;-0.1252;-0.2858;-0.8524;0.2316;0.0
0.3862;1.2357;0.2535;-0.2989;0.2295;0.199;0.0
0.3468;1.8789;1.3048;2.0039;0.4193;-0.1279;0.0
-0.0394;1.6392;-1.017;-0.1294;1.0539;-0.8308;0.0
0.0719;0.1441;-0.2173;-0.2334;-0.1996;-0.3568;0.0
-0.5662;-0.2997;0.0548;-0.4118;-0.8634;0.0845;0.0
0.0345;1.2909;-0.0284;-1.3011;0.345;0.3787;0.0
-0.2543;1.0153;0.2739;-0.4079;-0.3573;0.5749;0.0
-0.369;1.5387;-1.5427;-0.2793;1.0451;-0.9615;0.0
0.8384;1.0429;1.0829;-0.2149;-0.4467;-0.3894;0.0
-0.2622;-0.0495;-0.4124;-0.283;-0.1908;-0.6019;0.0
-0.3466;1.1584;0.198;-0.2989;-0.2288;0.248;0.0
-0.2691;-0.0527;0.2972;-0.3242;-0.8269;0.3297;0.0
-0.3131;1.0834;-0.0166;-0.2072;-0.3063;0.5095;0.0
-0.3999;-0.1143;0.0752;-0.2989;-0.7645;0.0028;0.0
-0.0449;-0.0109;-0.0609;-0.1906;-0.5487;-0.1933;0.0
0.0583;2.3922;-0.9741;-0.3946;1.8877;1.6209;0.0
-0.1042;0.0941;-0.0943;-0.3135;-0.3968;-0.1116;0.0
0.0484;0.1933;-0.0294;-0.2989;-0.3593;-0.1443;0.0
-0.0598;0.7144;0.7693;-0.3261;0.0089;0.0355;0.0
-0.1604;0.0715;-0.269;0.2739;-0.3136;-0.0952;0.0
-0.4163;-0.2429;0.028;-0.0077;-0.8561;0.3461;0.0
-0.4531;-0.0956;0.0607;-0.4758;-0.7937;0.2807;0.0
-0.1919;1.1949;0.0436;-0.3837;-0.2584;0.5912;0.0
-0.3379;0.8872;0.1537;-0.4593;-0.376;0.5749;0.0
-0.3;0.9303;0.1351;-0.2188;-0.3515;0.722;0.0
-0.3115;0.935;0.0965;-0.3117;-0.3146;0.2807;0.0
-0.075;0.1341;-0.189;-0.3581;-0.2823;-0.2587;0.0
-0.4924;-0.337;-0.1276;-0.4168;-0.8379;0.4441;0.0
-0.4102;-0.3483;0.0682;-0.1281;-0.7723;-0.1116;0.0
-0.3733;-0.2615;0.0003;-0.1749;-0.8701;0.1336;0.0
-0.3757;1.0799;0.052;-0.3815;-0.2199;0.3297;0.0
-0.2048;2.9838;-1.0554;-0.2299;2.1546;1.6046;0.0
-0.34;-0.0651;0.2859;-0.3257;-0.8249;0.2153;0.0
0.3292;1.6531;0.1551;-0.3639;0.3117;0.722;0.0
-0.3931;0.1038;0.2075;-0.4133;-0.764;0.3461;0.0
-0.1105;1.9769;-0.8289;-0.2596;0.9411;-0.9615;0.0
-0.8603;-1.0401;-0.317;-0.2847;-1.0142;-0.0626;0.0
0.2345;1.1599;0.9413;-0.1973;-0.042;0.2643;0.0
-0.5642;1.9257;-0.6182;-1.1697;1.5325;0.2316;0.0
-0.6859;-0.5461;-0.284;-0.4011;-0.8072;-0.1116;0.0
